keywords,paragraph
emission|gas|intergovernmental panel on climate change,"Increasing scientific evidence about the possibility of global climate change in the 1980s led to a growing awareness that human activities have been contributing to substantial increases in the atmospheric concentrations of greenhouse <span class=""highlight"">gases</span>. Concerned that anthropogenic increases of <span class=""highlight"">emissions</span> enhance the natural greenhouse effect and would result, on average, in an additional warming of the Earths surface, the World Meteorological Organization (WMO) and the United Nations Environment Programme (UNEP) established the <span class=""highlight"">Intergovernmental Panel on Climate Change</span> (<span class=""highlight"">IPCC</span>) in 1988. The Panel focused on: assessing <span class=""highlight"">scientific information</span> related to the various aspects of climate change; evaluating the environmental and socio-<span class=""highlight"">economic impacts</span> of climate change; and formulating response strategies for the management of global climate change. In 1990, the finalization and adoption of the <span class=""highlight"">IPCC</span> report and the Second World Climate Conference focused further attention on climate change."
differentiated responsibilities|co2|emission|technology transfer|technology,"On 11 December 1990, the 45th session of the UN General Assembly adopted a resolution that established the Intergovernmental Negotiating Committee for a Framework Convention on Climate Change (INC/FCCC). Supported by UNEP and WMO, the mandate of the INC/FCCC was to prepare an effective framework convention on climate change. The INC held five sessions between February 1991 and May 1992. During these meetings, participants from over 150 states discussed the difficult and contentious issues of <span class=""highlight"">binding commitments</span>, targets and timetables for the reduction of <span class=""highlight"">carbon dioxide</span> <span class=""highlight"">emissions</span>, <span class=""highlight"">financial mechanisms</span>, <span class=""highlight"">technology</span> transfer, and common but <span class=""highlight"">differentiated responsibilities</span> of developed and developing countries. The INC sought to achieve a consensus that could be supported by a broad majority, rather than drafting a treaty that dealt with specific policies that might limit participation."
emission|co2|forest|sink|energy,"Since the adoption of the Convention, the INC has met five more times to consider the following items: matters relating to commitments; matters relating to arrangements for the <span class=""highlight"">financial mechanism</span> and for technical and <span class=""highlight"">financial support</span> to developing countries; procedural and legal matters; and institutional matters. During these INC sessions, scientific work was done to improve the methodologies for measuring <span class=""highlight"">emissions</span> from various sources, but the larger scientific problem is choosing the best methodology to estimate the removal of <span class=""highlight"">carbon dioxide</span> by <span class=""highlight"">sinks</span>, namely <span class=""highlight"">oceans</span> and <span class=""highlight"">forests</span>. The other major task before negotiators has been to work on the difficult issue of <span class=""highlight"">financial support</span> for implementation, particularly for developing country Parties who will require new and additional resources to obtain data and implement <span class=""highlight"">energy</span>- efficient technologies and other necessary measures."
emission|gas,"The INC held its ninth session from 7-18 February 1994, in Geneva. In discussions on matters relating to commitments, delegates examined methodologies for calculations/inventories of <span class=""highlight"">emissions</span> and removal of greenhouse <span class=""highlight"">gases</span>, the first review of information communicated by Annex I parties, the role of the subsidiary bodies established by the Convention, and criteria for <span class=""highlight"">joint implementation</span>. Delegates also reviewed the <span class=""highlight"">adequacy of commitments</span>. The need for broader action beyond the year 2000 on the commitments in Article 4.2(a) and (b) was considered, based on the understanding that the provisions of this article refer to the present decade."
funding|financial resources|financial mechanism,"In its discussions on matters relating to the <span class=""highlight"">financial mechanism</span> and technical and <span class=""highlight"">financial support</span> to developing country Parties, the Committee chose to focus on the implementation of Article 11. It was agreed that only developing countries that are Parties to the Convention would be eligible to receive <span class=""highlight"">funding</span> upon <span class=""highlight"">entry into force</span> of the Convention. There was general support for a cost-effective arrangement for the Permanent Secretariat that would encourage collaboration with other secretariats. The question of the <span class=""highlight"">location of the Permanent Secretariat</span> was not resolved, but it was agreed that the Permanent Secretariat will start operating on 1 January 1996, and, in the interest of continuity, will be organized along the same lines as the Interim Secretariat."
adaptation and response measures|gef|financial mechanism|funding|technology transfer|technology,"On matters related to the <span class=""highlight"">financial mechanism</span>, countries agreed to stage-by- stage <span class=""highlight"">funding</span> modality for <span class=""highlight"">adaptation measures</span>. The temporary arrangements between the Committee and the <span class=""highlight"">Global Environment Facility</span> (<span class=""highlight"">GEF</span>) was also adopted. On agreed full incremental costs, the Committee concluded that this issue was complex and that further discussion was needed. Delegates also concluded that the concept should be flexible and applied on a case-by-case basis. The Interim Secretariat was requested to prepare a paper on <span class=""highlight"">transfer of technology and delegations were invited to submit their views on this issue. On the subject of the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the Subsidiary Body for Implementation (SBI), the provisional recommendation to the COP is that the SBSTA will be the link between the scientific and technical assessments and the information provided by international bodies and the policy-oriented needs of the COP. The SBI will develop recommendations to assist the COP in its assessment and review of the implementation of the Convention.</span>"
reducing emissions|emission|gas,"Subsequent to INC-10, Trinidad and Tobago, on behalf of the Alliance of <span class=""highlight"">Small Island</span> States (AOSIS), submitted a draft protocol to the Interim Secretariat. This protocol, which was distributed to other Parties, calls for a <span class=""highlight"">reduction of emissions of greenhouse gases by at least 20% by the year 2005.</span>"
all gases|greenhouse gas emissions|emission|gas|co2,"In other statements, Antigua and Barbuda, on behalf of the Caribbean Community, said industrialized countries should take significant steps to reduce <span class=""highlight"">emissions</span> of <span class=""highlight"">carbon dioxide</span> and <span class=""highlight"">other greenhouse gases. These concerns are adequately addressed by the AOSIS draft protocol on the reduction of greenhouse gas emissions. He urged that the debate on the AOSIS draft protocol begin at INC-11, with its subsequent adoption at the first COP. Austria, supported by New Zealand, stated that commitments must be strengthened and that a reduction in carbon dioxide emissions after the year 2000 is necessary to achieve the goals of the Convention.</span>"
technology|technology transfer,"Algeria, on behalf of the G-77, urged parties to the Convention not to go beyond the original mandate. Distinct categories of parties should have distinct responsibilities and any attempt to undermine this principle through innovative concepts, such as <span class=""highlight"">joint implementation</span>, would have negative repercussions. China said that it did not approve of any attempt to make developing countries accept concrete restrictive targets through amending the Convention or negotiating new protocols. India said there is still a lack of clarity on several concepts in the Convention, including full incremental costs, <span class=""highlight"">joint implementation</span> and transfer of <span class=""highlight"">technology</span>. While India recognized the need to address reduction of greenhouse <span class=""highlight"">gases</span> beyond the year 2000, he did not believe that this is the time to strengthen commitments, since INC negotiations on a new protocol could distract from establishing a fundamental basis to implement the existing Convention."
1990 levels|new commitment|emission|gas|co2|greenhouse gas concentrations,"INC Chair   RaÃƒÂ¯Ã‚Â¿Ã‚Â½l Estrada-Oyuela   opened INC-11 by noting a sense of satisfaction that 118 States and the EEC have ratified the Convention. He said that one of the most important tasks of this session is the review of the first 15 national reports submitted by Annex I developed countries. With regard to commitments, he stated that while some believe that after the year 2000 countries can increase their <span class=""highlight"">CO2</span> <span class=""highlight"">emissions</span>, this is not the case. Annex I countries are legally bound to reduce their <span class=""highlight"">emissions</span> to <span class=""highlight"">1990 levels</span> by the year 2000. If this is not enough to stabilize <span class=""highlight"">greenhouse gas concentrations</span>, <span class=""highlight"">new commitments</span> will be necessary. Agreement on these <span class=""highlight"">new commitments</span> will not be easy and may require greater involvement of large developing countries."
intergovernmental panel on climate change|emissions scenarios,"In his opening statement,   Bert Bolin  , Chair of the <span class=""highlight"">Intergovernmental Panel on Climate Change</span> (<span class=""highlight"">IPCC</span>), raised three issues: recent findings regarding radiative forcing of the atmosphere and the interpretation of the <span class=""highlight"">IPCC</span> <span class=""highlight"">emission</span> <span class=""highlight"">scenarios</span> that are dealt with in the <span class=""highlight"">IPCC</span> 1994 Special Report; the intensified general debate concerning knowledge about climate change; and the role of the <span class=""highlight"">IPCC</span> in the future work of the Convention. With regard to the latter, he said that it is most important that the future status of the <span class=""highlight"">IPCC</span> relative to the COP be clarified so that countries can decide on ways and means to support the <span class=""highlight"">IPCC</span> financially."
funding|gef|financial mechanism,"Mohamed El-Ashry  , CEO and Chair of the <span class=""highlight"">Global Environment Facility</span> (<span class=""highlight"">GEF</span>), noted that the Interim Secretariat of the Convention and the <span class=""highlight"">GEF</span> have reached agreement on <span class=""highlight"">GEF</span> arrangements to <span class=""highlight"">fund</span> enabling activities and preparations for national communications. At its first meeting in July, the <span class=""highlight"">GEF</span> Council approved a two-track programme of work. The first track will produce an overarching operational strategy, as well as specific strategies for the focal areas. The second will allocate limited resources to a relatively small number of activities on which guidance is fairly clear. He added that the <span class=""highlight"">GEF</span>, in its replenished and restructured form, responds to the requirements of Articles 21(3) and 11 of the Convention, and is ready to serve as the permanent <span class=""highlight"">financial mechanism</span> for the Convention."
reducing emissions|emission|gwp|gas|uncertainties|intergovernmental panel on climate change,"Working Group I first addressed Agenda Item 7, Questions for the <span class=""highlight"">IPCC</span> Chair. France, on behalf of the EU, asked Dr. Bolin whether substantial <span class=""highlight"">reductions in emissions would be necessary and if Annex I countries actions would be insufficient to prevent greenhouse warming. New Zealand inquired about the inclusion of short- lived gases in warming estimates and how uncertainties regarding Global Warming Potentials (GWPs) could be reduced. Bolin responded that the IPCC believes GWPs are a useful approach even though short-lived gases cannot be included. Japan called for greater mitigation by all parties.</span>"
funding|precipitation|uncertainties|social costs|models|intergovernmental panel on climate change|sea level rise|mitigation options|emissions scenarios|forest|sink,"Benin inquired whether the <span class=""highlight"">IPCC</span> had developed methodologies for analyzing regional effects on <span class=""highlight"">precipitation</span>. Bolin said that current <span class=""highlight"">models</span> could not produce consistent regional results. The Netherlands said it was obvious that commitments need to be strengthened and that action should be taken at COP-1. He also recommended continued <span class=""highlight"">funding</span> for the <span class=""highlight"">IPCC</span>. The US asked what the <span class=""highlight"">IPCC</span> recommended for next steps in its work and how the <span class=""highlight"">IPCC</span> relates to the SBSTA. He recommended that support for the <span class=""highlight"">IPCC</span> budget could be part of INC discussions, but should also be taken up by the COP. Bolin suggested three areas for joint work with the SBSTA: sources and <span class=""highlight"">sinks</span>, recent changes and methodologies. China questioned the effects of solar activity, the role of clouds, <span class=""highlight"">forests</span> and the biosphere, and long-term cycles of natural climatic variation. Bolin noted that it is possible to distinguish between natural variations and those from <span class=""highlight"">fossil fuels</span>, and the issue in long-term cycles is whether adjustments can be made if the rate of change is accelerating. Saudi Arabia, supported by Kuwait, suggested that increasing <span class=""highlight"">uncertainties</span> in <span class=""highlight"">emissions</span> <span class=""highlight"">scenarios</span> with longer time scales, downward revisions in estimates of <span class=""highlight"">sea level</span> rise, and differences in <span class=""highlight"">social costs</span> of <span class=""highlight"">mitigation options</span> require a cautious approach on <span class=""highlight"">adequacy of commitments</span>."
